# имя|версия|лицензия|домашняя страница — снимок установленного окружения
backports.tarfile|1.2.0|MIT License|https://github.com/jaraco/backports.tarfile
cached-property|2.0.1|BSD|https://github.com/pydanny/cached-property
caldav|2.0.1|GPL-3.0-or-later OR Apache-2.0 (двойная лицензия)|https://github.com/python-caldav/caldav
certifi|2026.7.22|MPL-2.0|https://github.com/certifi/python-certifi
cffi|2.1.1|MIT-0|https://github.com/python-cffi/cffi
charset-normalizer|3.5.1|MIT|
click|8.5.0|BSD-3-Clause|https://github.com/pallets/click/
cryptography|50.0.1|Apache-2.0 OR BSD-3-Clause|https://github.com/pyca/cryptography
decorator|5.3.1|BSD-2-Clause|
defusedxml|0.7.1|PSFL|https://github.com/tiran/defusedxml
dnspython|2.8.0|ISC|https://www.dnspython.org
exchangelib|5.6.0|BSD-2-Clause|https://github.com/ecederstrand/exchangelib
gssapi|1.12.0|ISC|https://github.com/pythongssapi/python-gssapi
icalendar|7.3.0|BSD-2-Clause|https://icalendar.readthedocs.io/en/stable/
idna|3.19|BSD-3-Clause|https://github.com/kjd/idna
IMAPClient|3.1.0|3-Clause BSD License|https://github.com/mjs/imapclient/
importlib_metadata|9.0.1|Apache-2.0|https://github.com/python/importlib_metadata
isodate|0.7.2|BSD License|https://github.com/gweis/isodate/
jaraco.classes|3.4.0|MIT License|https://github.com/jaraco/jaraco.classes
jaraco.context|6.1.2|MIT|https://github.com/jaraco/jaraco.context
jaraco.functools|4.6.0|MIT|https://github.com/jaraco/jaraco.functools
jeepney|0.9.0|MIT|https://gitlab.com/takluyver/jeepney
keyring|25.7.0|MIT|https://github.com/jaraco/keyring
libpff-python|20231205|GNU Lesser General Public License v3 or later (LGPLv3+)|
lxml|6.1.3|BSD-3-Clause|https://lxml.de/
more-itertools|11.1.0|MIT|https://github.com/more-itertools/more-itertools
oauthlib|3.3.1|BSD-3-Clause|https://github.com/oauthlib/oauthlib
packaging|26.3|Apache-2.0 OR BSD-2-Clause|https://github.com/pypa/packaging
pycparser|3.0|BSD-3-Clause|https://github.com/eliben/pycparser
Pygments|2.21.0|BSD-2-Clause|https://pygments.org
PySide6|6.11.2|LGPL-3.0-only OR GPL-2.0-only OR GPL-3.0-only|https://pyside.org
PySide6_Addons|6.11.2|LGPL-3.0-only OR GPL-2.0-only OR GPL-3.0-only|https://pyside.org
PySide6_Essentials|6.11.2|LGPL-3.0-only OR GPL-2.0-only OR GPL-3.0-only|https://pyside.org
pyspnego|0.12.2|MIT|https://github.com/jborean93/pyspnego
python-dateutil|2.9.0.post0|Dual License|https://github.com/dateutil/dateutil
pytz|2026.3.post1|MIT|http://pythonhosted.org/pytz
recurring-ical-events|3.8.2|LGPL-3.0-or-later|https://recurring-ical-events.readthedocs.io/
requests|2.34.2|Apache-2.0|https://github.com/psf/requests
requests-gssapi|1.4.0|ISC|https://github.com/pythongssapi/requests-gssapi
requests-oauthlib|2.0.0|ISC|https://github.com/requests/requests-oauthlib
requests_ntlm|1.3.0|ISC|https://github.com/requests/requests-ntlm
SecretStorage|3.5.0|BSD-3-Clause|https://github.com/mitya57/secretstorage
shiboken6|6.11.2|LGPL-3.0-only OR GPL-2.0-only OR GPL-3.0-only|https://pyside.org
six|1.17.0|MIT|https://github.com/benjaminp/six
typing_extensions|4.16.0|PSF-2.0|https://github.com/python/typing_extensions
tzdata|2026.3|Apache-2.0|https://github.com/python/tzdata
tzlocal|5.4.4|MIT|https://github.com/regebro/tzlocal
urllib3|2.7.0|MIT|
vobject|0.9.9|Apache|UNKNOWN
x-wr-timezone|2.0.1|LGPL-3.0-or-later|https://github.com/niccokunzmann/x-wr-timezone
zipp|4.1.0|MIT|https://github.com/jaraco/zipp
